"","X0.5","X1.0","X1.5","X2.0","X2.5","X3.0","X3.5","X4.0","X4.5","X5.0","X5.5","X6.0","X6.5","X7.0","X7.5","X8.0","X8.5","X9.0","X9.5","X10.0","X10.5","X11.0","X11.5","X12.0","X12.5","X13.0","X13.5","X14.0","X14.5","X15.0","X15.5","X16.0","X16.5","X17.0","X17.5","X18.0","X18.5","X19.0","X19.5","X20.0","X20.5","X21.0","X21.5","X22.0","X22.5","X23.0","X23.5","X0.0","X0.5","X1.0","X1.5","X2.0","X2.5","X3.0","X3.5","X4.0","X4.5","X5.0","X5.5","X6.0","X6.5","X7.0","X7.5","X8.0","X8.5","X9.0","X9.5","X10.0","X10.5","X11.0","X11.5","X12.0","X12.5","X13.0","X13.5","X14.0","X14.5","X15.0","X15.5","X16.0","X16.5","X17.0","X17.5","X18.0","X18.5","X19.0","X19.5","X20.0","X20.5","X21.0","X21.5","X22.0","X22.5","X23.0","X23.5","X0.0"
0,36.5,38.3666666666667,38.4666666666667,38.5333333333333,38.5666666666667,38.6666666666667,38.8333333333333,38.9,39.1333333333333,39.4666666666667,38.2,40.0333333333333,36.2333333333333,32.6333333333333,31.9666666666667,31.3,30.9,31,31.2,31.8333333333333,28.6,31.6333333333333,31.1,31.1,31.2333333333333,30.5333333333333,30.7666666666667,30.5333333333333,30.7666666666667,31.1333333333333,34.7,31.2333333333333,31.3666666666667,31.3333333333333,32.8,34.3,34.9,35.2,35.2333333333333,35.1666666666667,38,35.2666666666667,35.2666666666667,35.3,35.3666666666667,35.5,35.5666666666667,35.6333333333333,38.2333333333333,38.3666666666667,38.2,38.5333333333333,38.5666666666667,38.6666666666667,38.8333333333333,38.9,39.1333333333333,39.4666666666667,39.7666666666667,40.0333333333333,34.9,32.6333333333333,31.9666666666667,31.3,30.9,31,31.2,31.8333333333333,31.8666666666667,31.6333333333333,35.1,31.1,31.2333333333333,30.5333333333333,30.7666666666667,30.5333333333333,30.7666666666667,31.1333333333333,31.1333333333333,31.2333333333333,39.1,31.3333333333333,32.8,34.3,34.9,35.2,35.2333333333333,35.1666666666667,35.2,35.2666666666667,41,35.3,35.3666666666667,35.5,35.5666666666667,35.6333333333333
1,37.2,39.1,39.1666666666667,39.2333333333333,39.3,39.3333333333333,39.5333333333333,39.5666666666667,39.7333333333333,39.9,38.8,40.3333333333333,37.3333333333333,34.4666666666667,34,33.3,33.1333333333333,33.1333333333333,33.2333333333333,33.8333333333333,32.1,34.5666666666667,34.6333333333333,34.7666666666667,34.3,34.0666666666667,34.6333333333333,34.3666666666667,34.1333333333333,34.4333333333333,37.6,34.6666666666667,34.8,34.7333333333333,35.3,35.9666666666667,36.7666666666667,36.4333333333333,36.3666666666667,36.2666666666667,39,36.1666666666667,36.3,36.2666666666667,36.3666666666667,36.3333333333333,36.4,36.4666666666667,39,39.1,39,39.2333333333333,39.3,39.3333333333333,39.5333333333333,39.5666666666667,39.7333333333333,39.9,40.2,40.3333333333333,36.6,34.4666666666667,34,33.3,33.1333333333333,33.1333333333333,33.2333333333333,33.8333333333333,34.4,34.5666666666667,38.3,34.7666666666667,34.3,34.0666666666667,34.6333333333333,34.3666666666667,34.1333333333333,34.4333333333333,34.4666666666667,34.6666666666667,41.9,34.7333333333333,35.3,35.9666666666667,36.7666666666667,36.4333333333333,36.3666666666667,36.2666666666667,36.2,36.1666666666667,41.9,36.2666666666667,36.3666666666667,36.3333333333333,36.4,36.4666666666667
2,36.4,38.2666666666667,38.3333333333333,38.4333333333333,38.4666666666667,38.4333333333333,38.6333333333333,38.7,38.9,39.2666666666667,38.5,39.7666666666667,35.0333333333333,31.6,30.8333333333333,30.4,30.4,30.2666666666667,30.6333333333333,31.4666666666667,29.9,32.1333333333333,32.1,32,31.5666666666667,31.1,31.5666666666667,31.6666666666667,31.6333333333333,32.1,35.8,32.3666666666667,32.3666666666667,32.3,33.5333333333333,34.4,34.9333333333333,35.4,35.1666666666667,35.0666666666667,38.1,35.1333333333333,35.2,35.2333333333333,35.3333333333333,35.3666666666667,35.5333333333333,35.6,38.1333333333333,38.2666666666667,38.6,38.4333333333333,38.4666666666667,38.4333333333333,38.6333333333333,38.7,38.9,39.2666666666667,39.6,39.7666666666667,34.6,31.6,30.8333333333333,30.4,30.4,30.2666666666667,30.6333333333333,31.4666666666667,32.0333333333333,32.1333333333333,36.2,32,31.5666666666667,31.1,31.5666666666667,31.6666666666667,31.6333333333333,32.1,32.0666666666667,32.3666666666667,39.9,32.3,33.5333333333333,34.4,34.9333333333333,35.4,35.1666666666667,35.0666666666667,35,35.1333333333333,40.8,35.2333333333333,35.3333333333333,35.3666666666667,35.5333333333333,35.6
3,36.2,38.6,38.6333333333333,38.7333333333333,38.6666666666667,38.6666666666667,38.8666666666667,38.8333333333333,39.0666666666667,39.2666666666667,38,39.6666666666667,34.8666666666667,31.7666666666667,31.4333333333333,30.7666666666667,30.4666666666667,30.5333333333333,31.1666666666667,32.8333333333333,32.1,34.2333333333333,34.2333333333333,33.9333333333333,33.0333333333333,31.9666666666667,32.3666666666667,32.3,32.2,32.5333333333333,39.1,33.2,33.2333333333333,33.1,34.5,35.3,35.7333333333333,35.8666666666667,35.8,35.6333333333333,38.4,35.5666666666667,35.6,35.6666666666667,35.7,35.7,35.7666666666667,35.9,38.4666666666667,38.6,38.6,38.7333333333333,38.6666666666667,38.6666666666667,38.8666666666667,38.8333333333333,39.0666666666667,39.2666666666667,39.4666666666667,39.6666666666667,35.7,31.7666666666667,31.4333333333333,30.7666666666667,30.4666666666667,30.5333333333333,31.1666666666667,32.8333333333333,33.8,34.2333333333333,38.9,33.9333333333333,33.0333333333333,31.9666666666667,32.3666666666667,32.3,32.2,32.5333333333333,32.6,33.2,42.2,33.1,34.5,35.3,35.7333333333333,35.8666666666667,35.8,35.6333333333333,35.5333333333333,35.5666666666667,41.2,35.6666666666667,35.7,35.7,35.7666666666667,35.9
4,36,38.5666666666667,38.5333333333333,38.7,38.6,38.6,38.8,38.7666666666667,39,39.1333333333333,37.6,39.3333333333333,36.2666666666667,33.2333333333333,32.7333333333333,32.3,32.2333333333333,32,32.1666666666667,33.0333333333333,30.5,34.2,34.2,33.9666666666667,33.6,32.4,32.7,32.6,32.4666666666667,32.6666666666667,38,33.4,33.5,33.2333333333333,34.5333333333333,35.4,35.6,35.6,35.6,35.3666666666667,38.7,35.3333333333333,35.4,35.4,35.5333333333333,35.4666666666667,35.6,35.7333333333333,38.3666666666667,38.5666666666667,38.7,38.7,38.6,38.6,38.8,38.7666666666667,39,39.1333333333333,39.3,39.3333333333333,36.7,33.2333333333333,32.7333333333333,32.3,32.2333333333333,32,32.1666666666667,33.0333333333333,33.6333333333333,34.2,38,33.9666666666667,33.6,32.4,32.7,32.6,32.4666666666667,32.6666666666667,32.8,33.4,41.3,33.2333333333333,34.5333333333333,35.4,35.6,35.6,35.6,35.3666666666667,35.3666666666667,35.3333333333333,41.4,35.4,35.5333333333333,35.4666666666667,35.6,35.7333333333333
5,38.3,36.2,38.4,38.5,38.3333333333333,38.2333333333333,38.6,38.3333333333333,38.6666666666667,38.7666666666667,38.8333333333333,37.4,34.9333333333333,31.6333333333333,31.1333333333333,30.8,30.8,30.5666666666667,31,32.2,33.1333333333333,30.8,33.5,33.2666666666667,32.3333333333333,31.5666666666667,31.9,31.8333333333333,31.6,31.6333333333333,31.6666666666667,39.4,32.6333333333333,32.3,33.5,34.7333333333333,35.0333333333333,35.3666666666667,35.4333333333333,35.2,35.1666666666667,38.5,35.1666666666667,35.2,35.2666666666667,35.2666666666667,35.4,35.5666666666667,38.3,38.4,38.4,38.7,38.3333333333333,38.2333333333333,38.6,38.3333333333333,38.6666666666667,38.7666666666667,38.8333333333333,38.9333333333333,34.9333333333333,29.5,31.1333333333333,30.8,30.8,30.5666666666667,31,32.2,33.1333333333333,33.5666666666667,33.5,38.6,32.3333333333333,31.5666666666667,31.9,31.8333333333333,31.6,31.6333333333333,31.6666666666667,32.4333333333333,32.6333333333333,41.7,33.5,34.7333333333333,35.0333333333333,35.3666666666667,35.4333333333333,35.2,35.1666666666667,35.1666666666667,35.1666666666667,41.1,35.2666666666667,35.2666666666667,35.4,35.5666666666667
6,39.2,37.2,39.3333333333333,39.4333333333333,39.4,39.3333333333333,39.5333333333333,39.6,39.7333333333333,39.9,40.1,38.9,36.4333333333333,33.5,32.6333333333333,31.9333333333333,31.3666666666667,30.9,30.8,31.6,32.4666666666667,28.6,33.3666666666667,33,32.4,30.7,30.7,30.2333333333333,29.9333333333333,30.1,30.4,39,31.8,31.3666666666667,33.2666666666667,35.2333333333333,35.6333333333333,35.9,36,35.9666666666667,35.9666666666667,39.4,36.1,36.2,36.3,36.3333333333333,36.4666666666667,36.6,39.2,39.3333333333333,39.3333333333333,39.5,39.4,39.3333333333333,39.5333333333333,39.6,39.7333333333333,39.9,40.1,40.2333333333333,36.4333333333333,31.8,32.6333333333333,31.9333333333333,31.3666666666667,30.9,30.8,31.6,32.4666666666667,33.4,33.3666666666667,38,32.4,30.7,30.7,30.2333333333333,29.9333333333333,30.1,30.4,31.4666666666667,31.8,41.5,33.2666666666667,35.2333333333333,35.6333333333333,35.9,36,35.9666666666667,35.9666666666667,35.9666666666667,36.1,41.9,36.3,36.3333333333333,36.4666666666667,36.6
7,39.9333333333333,38.1,40.0666666666667,40.2,40.0333333333333,39.9333333333333,40.1666666666667,40.0333333333333,40.3,40.3666666666667,40.6666666666667,39.5,36.9666666666667,34.2666666666667,33.3666666666667,32.5666666666667,32.0333333333333,31.5333333333333,31.2666666666667,31.8333333333333,32.7666666666667,28.5,33.7666666666667,33.3333333333333,32.5,31.2,31.1333333333333,30.7666666666667,30.5,30.5,30.6,38.8,32.5333333333333,32,33.8333333333333,35.9,36.3333333333333,36.6666666666667,36.8333333333333,36.7666666666667,36.6,40.7,36.9,36.9666666666667,37.0333333333333,37.0333333333333,37.2,37.2333333333333,39.9333333333333,40.1,40.0666666666667,40.9,40.0333333333333,39.9333333333333,40.1666666666667,40.0333333333333,40.3,40.3666666666667,40.6666666666667,40.6333333333333,36.9666666666667,32.6,33.3666666666667,32.5666666666667,32.0333333333333,31.5333333333333,31.2666666666667,31.8333333333333,32.7666666666667,33.8333333333333,33.7666666666667,38.1,32.5,31.2,31.1333333333333,30.7666666666667,30.5,30.5,30.6,31.8,32.5333333333333,42.2,33.8333333333333,35.9,36.3333333333333,36.6666666666667,36.8333333333333,36.7666666666667,36.6,36.6333333333333,36.9,43.3,37.0333333333333,37.0333333333333,37.2,37.2333333333333
8,39.9666666666667,38.4,40.1333333333333,40.2666666666667,40.2,39.9666666666667,40.2666666666667,40.1333333333333,40.3666666666667,40.3,40.5,39.2,37.2666666666667,34.7333333333333,34.0333333333333,33.3,33.0333333333333,32.6,32.4666666666667,33.1666666666667,33.9333333333333,30.2,34.7333333333333,34.4666666666667,33.8,32.8,32.9666666666667,32.7666666666667,32.6,32.6,32.8333333333333,39.3,33.8666666666667,33.4333333333333,34.8,36.4,36.4333333333333,36.7,36.7666666666667,36.6666666666667,36.6333333333333,40.4,36.9333333333333,36.9333333333333,37.0666666666667,37.0666666666667,37.2333333333333,37.4666666666667,39.9666666666667,40.1333333333333,40.1333333333333,40.6,40.2,39.9666666666667,40.2666666666667,40.1333333333333,40.3666666666667,40.3,40.5,40.5333333333333,37.2666666666667,33.4,34.0333333333333,33.3,33.0333333333333,32.6,32.4666666666667,33.1666666666667,33.9333333333333,35,34.7333333333333,39.9,33.8,32.8,32.9666666666667,32.7666666666667,32.6,32.6,32.8333333333333,33.5333333333333,33.8666666666667,43.1,34.8,36.4,36.4333333333333,36.7,36.7666666666667,36.6666666666667,36.6333333333333,36.7333333333333,36.9333333333333,43.2,37.0666666666667,37.0666666666667,37.2333333333333,37.4666666666667
9,42.1666666666667,42.5,42.7666666666667,42.9666666666667,43.1,43.2,43.4333333333333,43.6,43.7333333333333,43.9333333333333,44.1333333333333,43.4,37.8666666666667,33.3666666666667,32.6333333333333,32.2333333333333,32,32,31.8666666666667,32.4,32.5333333333333,36.5,31.3666666666667,31.6,31.3666666666667,31.4,31.6,31.5,31.2666666666667,30.8666666666667,31.0666666666667,39.4,31.6333333333333,31.9333333333333,33.6,35.6333333333333,35.7,35.9666666666667,36.3666666666667,37.2,37.8,41.5,38.0333333333333,38.0666666666667,38.2,38.5333333333333,39.4333333333333,40.2666666666667,42.1666666666667,42.4333333333333,42.7666666666667,42.2,43.1,43.2,43.4333333333333,43.6,43.7333333333333,43.9333333333333,44.1333333333333,44.2,37.8666666666667,39.3,32.6333333333333,32.2333333333333,32,32,31.8666666666667,32.4,32.5333333333333,32.2333333333333,31.3666666666667,39.1,31.3666666666667,31.4,31.6,31.5,31.2666666666667,30.8666666666667,31.0666666666667,31.2666666666667,31.6333333333333,42.7,33.6,35.6333333333333,35.7,35.9666666666667,36.3666666666667,37.2,37.8,37.5666666666667,38.0333333333333,44.3,38.2,38.5333333333333,39.4333333333333,40.2666666666667
